"ID","Type","Name","Documentation"
"VS_1","ValueStream","Develop Educational Offerings","The end-to-end process of designing, creating, and launching new academic programs and courses."
"VS_1_1","ValueStream","Define Program","The stage of identifying market needs and defining the structure and goals of a new academic program."
"VS_1_1_1","ValueStream","Analyze Market Needs","The process of researching industry trends, employer demands, and prospective student interest to justify a new program."
"VS_1_1_2","ValueStream","Design Program Structure","The process of defining the program's curriculum framework, learning outcomes, and degree requirements."
"VS_1_2","ValueStream","Develop Curriculum","The stage of creating the detailed content and assessment methods for all courses within a new program."
"VS_1_2_1","ValueStream","Create Course Content","The process of developing syllabi, lecture materials, assignments, and other learning resources for a specific course."
"VS_1_2_2","ValueStream","Define Assessment Methods","The process of establishing the tools and criteria for evaluating student learning, such as exams, projects, and grading rubrics."
"VS_1_3","ValueStream","Launch Offering","The stage of marketing the new program and opening the enrollment process to prospective students."
"VS_1_3_1","ValueStream","Market Program","The process of promoting the new offering to target audiences through various channels to attract applicants."
"VS_1_3_2","ValueStream","Open Enrollment","The process of formally opening the application and registration systems for the new program."
"VS_2","ValueStream","Build Research Capabilities","The end-to-end process of establishing the foundational resources, expertise, and infrastructure required to conduct research."
"VS_2_1","ValueStream","Establish Research Area","The stage of identifying a strategic research focus and securing initial support."
"VS_2_1_1","ValueStream","Identify Niche","The process of determining a specific, viable area of research focus based on institutional strengths and funding opportunities."
"VS_2_1_2","ValueStream","Secure Seed Funding","The process of acquiring initial internal or external funds to launch a new research initiative."
"VS_2_2","ValueStream","Provision Resources","The stage of acquiring the necessary physical and technological infrastructure for research activities."
"VS_2_2_1","ValueStream","Acquire Facilities","The process of securing and preparing laboratory, office, or other physical spaces for research."
"VS_2_2_2","ValueStream","Procure Equipment","The process of purchasing, installing, and commissioning specialized scientific or technical equipment."
"VS_2_3","ValueStream","Cultivate Expertise","The stage of assembling and developing a team of skilled researchers."
"VS_2_3_1","ValueStream","Recruit Researchers","The process of hiring faculty, postdoctoral fellows, and technical staff with the required expertise."
"VS_2_3_2","ValueStream","Foster Collaboration","The process of establishing partnerships and networks to enhance research capacity and impact."
"VS_3","ValueStream","Deliver Education","The end-to-end process of admitting, instructing, and graduating students in an established academic program."
"VS_3_1","ValueStream","Admit & Onboard Student","The stage of processing applications, admitting qualified candidates, and integrating them into the university."
"VS_3_1_1","ValueStream","Process Applications","The process of receiving, reviewing, and making decisions on student applications for admission."
"VS_3_1_2","ValueStream","Orient New Students","The process of providing newly admitted students with essential information and resources to begin their studies."
"VS_3_2","ValueStream","Educate & Assess Student","The stage of delivering instruction and evaluating student performance against learning objectives."
"VS_3_2_1","ValueStream","Deliver Instruction","The process of conducting lectures, labs, seminars, and other educational activities."
"VS_3_2_2","ValueStream","Evaluate Performance","The process of grading assignments, administering exams, and providing feedback to measure student learning."
"VS_3_3","ValueStream","Graduate Student","The stage of verifying academic completion and formally conferring degrees or credentials."
"VS_3_3_1","ValueStream","Verify Completion","The process of auditing a student's academic record to confirm all degree requirements have been met."
"VS_3_3_2","ValueStream","Confer Degree","The process of formally awarding the diploma and recognizing the student's academic achievement."
"VS_4","ValueStream","Conduct Funded Research","The end-to-end process of securing external funding, executing a research project, and disseminating the results."
"VS_4_1","ValueStream","Acquire Funding","The stage of preparing and submitting proposals to funding agencies to secure financial support for research."
"VS_4_1_1","ValueStream","Write Grant Proposal","The process of drafting a detailed research plan, budget, and justification for a funding application."
"VS_4_1_2","ValueStream","Submit & Negotiate","The process of formally submitting the proposal and negotiating the terms of the award with the funding body."
"VS_4_2","ValueStream","Conduct Investigation","The stage of executing the planned research activities, including data collection and analysis."
"VS_4_2_1","ValueStream","Collect Data","The process of performing experiments, running simulations, or gathering information according to the research design."
"VS_4_2_2","ValueStream","Analyze Results","The process of interpreting collected data to draw conclusions and generate new insights."
"VS_4_3","ValueStream","Publish Findings","The stage of preparing and disseminating research results to the academic community and the public."
"VS_4_3_1","ValueStream","Draft Manuscript","The process of writing a scholarly article, report, or book detailing the research methodology, findings, and conclusions."
"VS_4_3_2","ValueStream","Peer Review & Publish","The process of submitting the manuscript to a journal or publisher and undergoing review by other experts in the field."
"VS_4_4","ValueStream","Commercialize IP","The stage of protecting and licensing intellectual property generated from research."
"VS_4_4_1","ValueStream","File Patent","The process of preparing and submitting an application to a patent office to protect an invention."
"VS_4_4_2","ValueStream","License Technology","The process of negotiating agreements with external parties to use the university's patented technology."
"CAP_0","Capability","University Core Operations","The overarching ability to manage and integrate all core academic and research functions of the university."
"CAP_1","Capability","Research Management","The ability to oversee the entire research lifecycle, from proposal development to publication and commercialization."
"CAP_1_1","Capability","Research Proposal Development","The ability to create and submit compelling grant proposals to secure external research funding."
"CAP_1_2","Capability","Scientific Investigation","The ability to design and execute rigorous research projects to generate new knowledge."
"CAP_1_3","Capability","Research Data Curation","The ability to manage, preserve, and provide access to research datasets in a secure and organized manner."
"CAP_1_4","Capability","IP Commercialization","The ability to identify, protect, and commercialize intellectual property arising from research activities."
"CAP_1_5","Capability","Scholarly Publishing","The ability to prepare, review, and disseminate research findings through academic journals and other scholarly channels."
"CAP_1_6","Capability","Technology Licensing","The ability to negotiate and manage legal agreements for the commercial use of university-owned intellectual property."
"CAP_2","Capability","Education Management","The ability to design, develop, deliver, and oversee all aspects of the university's academic programs."
"CAP_2_1","Capability","Program Portfolio Management","The ability to strategically manage the university's portfolio of academic programs, including creation, review, and retirement."
"CAP_2_2","Capability","Curriculum Design & Development","The ability to create and refine the content, structure, and learning outcomes of academic courses and programs."
"CAP_2_3","Capability","Instructional Delivery & Assessment","The ability to effectively teach students and evaluate their learning through various pedagogical and assessment methods."
"CAP_2_4","Capability","Credential Awarding","The ability to verify student completion of academic requirements and formally confer degrees and other credentials."
"CAP_3","Capability","Stakeholder Management","The ability to manage the lifecycle of key university stakeholders, including students and faculty."
"CAP_3_1","Capability","Student Recruitment & Selection","The ability to attract, evaluate, and admit qualified students to the university."
"CAP_3_2","Capability","Student Advising & Support","The ability to provide academic guidance and support services to ensure student success and well-being."
"CAP_3_3","Capability","Student Progression Tracking","The ability to monitor and manage students' academic progress towards the completion of their degree requirements."
"CAP_3_4","Capability","Faculty Expertise Management","The ability to manage information about faculty qualifications, research interests, and professional activities."
"CAP_4","Capability","Academic Resource Management","The ability to manage the physical and digital resources that support teaching and research activities."
"CAP_4_2","Capability","Research Facility Management","The ability to operate and maintain specialized laboratories and research centers."
"CAP_4_3","Capability","Library & Archive Management","The ability to curate, maintain, and provide access to scholarly collections, books, and historical archives."
"CAP_4_4","Capability","Teaching Space Management","The ability to schedule, equip, and maintain classrooms, lecture halls, and other instructional spaces."
"BO_0","BusinessObject","University Core Asset","The top-level abstract representation of all key information assets managed by the university."
"BO_1","BusinessObject","Research Asset","An information asset related to the planning, execution, and dissemination of research."
"BO_1_1","BusinessObject","Grant Proposal","A formal document submitted to a funding body to request financial support for a research project."
"BO_1_2","BusinessObject","Research Dataset","A curated collection of data generated or used during a research investigation."
"BO_1_3","BusinessObject","Scholarly Work","A manuscript, article, or book that communicates the findings of a research project."
"BO_1_4","BusinessObject","Patent Application","A legal document filed to protect the intellectual property rights of an invention."
"BO_1_5","BusinessObject","License Agreement","A legal contract granting a third party the rights to use university-owned intellectual property."
"BO_2","BusinessObject","Education Asset","An information asset related to the definition, delivery, and outcomes of academic programs."
"BO_2_1","BusinessObject","Program Catalog","A comprehensive listing and description of all academic programs and courses offered by the university."
"BO_2_2","BusinessObject","Course Syllabus","A document outlining the objectives, content, schedule, and assessment criteria for a specific academic course."
"BO_2_3","BusinessObject","Student Transcript","An official record of a student's academic performance, including courses taken and grades received."
"BO_2_4","BusinessObject","Diploma","A formal document issued by the university certifying the successful completion of a degree program."
"BO_3","BusinessObject","Stakeholder Asset","An information asset containing data about key individuals interacting with the university, such as students and faculty."
"BO_3_1","BusinessObject","Student Application","A collection of documents and data submitted by a prospective student for admission."
"BO_3_2","BusinessObject","Enrolled Student Record","A comprehensive record of an admitted student's academic and administrative information."
"BO_3_3","BusinessObject","Faculty Profile","A record of a faculty member's credentials, publications, research interests, and teaching assignments."
"BO_4","BusinessObject","Infrastructure Asset","An information asset describing the university's physical and digital resources for teaching and research."
"BO_4_1","BusinessObject","Research Facility Record","A record detailing the specifications, availability, and usage of a research laboratory or facility."
"BO_4_2","BusinessObject","Teaching Space Record","A record detailing the capacity, features, and schedule of a classroom or lecture hall."
"BO_4_3","BusinessObject","Library Collection Record","A catalog entry for a book, journal, or other resource held by the university library."
